"排名","代號","名稱","股價日期","成交","市值(億)","產業別","相關產業","漲跌幅","振幅(%)","成交額(百萬)","02/02成交量(張)","02/02成交量週轉率(%)"
"530",="7711","永擎","02/02","223","160","電腦及週邊設備業","電子零組件–主機板","+3.96","5.13","49.6","225","0.31"
"531","00867B","新光A-BBB電信債","02/02","31.6","159","債券ETF","債券ETF","0","0","0","0","0"
"532",="2227","裕日車","02/02","53","159","汽車工業","汽車","-1.85","0.93","4.25","80","0.03"
"533",="2351","順德","02/02","87.2","159","半導體業","半導體–IC製造,半導體–導線架","-1.8","4.28","137","1,569","0.86"
"534",="6613","朋億*","02/02","203","158","其他電子業","其他電子","+5.18","2.33","121","602","0.77"
"535",="9925","新保","02/02","40.6","157","其他業","其他","-0.37","0.49","16.9","415","0.11"
"536",="6753","龍德造船","02/02","138.5","157","航運業","航運–造船","-4.81","6.53","367","2,593","2.29"
"537",="2704","國賓","02/02","42.65","156","觀光餐旅","觀光","-1.73","1.27","4.15","97","0.03"
"538",="3673","TPK-KY","02/02","38.2","155","光電業","面板業","-1.67","2.32","59.1","1,549","0.38"
"539",="2731","雄獅","02/02","166.5","155","觀光餐旅","觀光","-1.48","1.78","77","464","0.5"
"540",="9908","大台北","02/02","29.75","154","油電燃氣業","油電燃氣","-0.5","0.67","3.58","120","0.02"
"541",="4971","IET-KY","02/02","384","154","半導體業","半導體–IC製造","-2.04","7.27","2,003","5,170","12.9"
"542",="4147","中裕","02/02","56.1","153","生技醫療業","醫藥產業","-0.88","2.3","68.6","1,235","0.45"
"543",="1623","大東電","02/02","232","153","電器電纜","興電器電纜","-5.69","5.49","101","431","0.65"
"544",="6831","邁科","02/02","226.5","153","電腦及週邊設備業","興電腦週邊","-4.83","3.15","139","609","0.9"
"545",="4722","國精化","02/02","151","153","化學工業","化工","-2.27","3.24","136","888","0.88"
"546",="2608","嘉里大榮","02/02","32.4","151","航運業","航運–倉儲物流,航運–陸上貨運,航運–陸運","-0.61","1.23","7.92","245","0.05"
